['深圳', '心灵失重（北京）科技有限公司', '150-500人', '本科', 'Python', '全职', '15k-30k', '3-5年']
['深圳', '深圳市橡树黑卡网络科技有限公司', '500-2000人', '本科', 'python', '全职', '13k-25k', '3-5年']
['北京', '北京嘉和美康信息技术有限公司', '500-2000人', '本科', 'Python开发工程师', '全职', '15k-25k', '5-10年']
['深圳', '深圳市铱硙医疗科技有限公司', '15-50人', '本科', 'python开发工程师', '全职', '10k-15k', '1-3年']
['北京', '创新奇智（北京）科技有限公司', '150-500人', '本科', 'python开发工程师', '全职', '15k-30k', '3-5年']
['北京', '北京陌陌科技有限公司', '500-2000人', '本科', 'Python开发工程师', '全职', '25k-40k', '3-5年']
['北京', '华控清交信息科技（北京）有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '20k-40k', '3-5年']
['深圳', '千巡科技（深圳）有限公司', '15-50人', '本科', 'Python工程师', '全职', '10k-18k', '1-3年']
['杭州', '乐麦信息技术（杭州）有限公司', '500-2000人', '本科', 'Python开发工程师', '全职', '10k-20k', '3-5年']
['深圳', '深圳佑驾创新科技有限公司', '150-500人', '本科', 'Python工程师', '全职', '15k-30k', '1-3年']
['武汉', '智线云科技（北京）有限公司', '50-150人', '不限', 'python开发工程师', '全职', '8k-15k', '1-3年']
['上海', '上海微创软件股份有限公司', '2000人以上', '本科', 'python开发', '全职', '10k-16k', '1-3年']
['上海', '上海微创软件股份有限公司', '2000人以上', '大专', 'python开发工程师', '全职', '10k-17k', '1-3年']
['上海', '易宝软件科技（南京）有限公司', '150-500人', '大专', 'python开发', '全职', '12k-18k', '1-3年']
['成都', '易宝软件科技（南京）有限公司', '150-500人', '本科', 'python开发工程师', '全职', '12k-20k', '3-5年']
['北京', '智线云科技（北京）有限公司', '50-150人', '本科', 'Python开发工程师', '全职', '12k-20k', '1-3年']
['成都', '成都无糖信息技术有限公司', '50-150人', '不限', 'Python开发工程师', '全职', '10k-15k', '不限']
['北京', '北京字节跳动科技有限公司', '2000人以上', '本科', 'python开发工程师', '全职', '20k-35k', '1-3年']
['北京', '深度好奇（北京）科技有限公司', '15-50人', '本科', 'Python工程师', '全职', '12k-24k', '不限']
['深圳', '深圳市菁优智慧教育股份有限公司', '150-500人', '本科', 'Python开发工程师', '全职', '10k-15k', '1-3年']
['上海', '北京字节跳动科技有限公司', '2000人以上', '本科', 'Python开发工程师', '全职', '25k-40k', '3-5年']
['北京', '北京金堤科技有限公司', '500-2000人', '本科', 'Python开发工程师', '全职', '15k-25k', '3-5年']
['上海', '苏州博纳讯动软件有限公司', '150-500人', '本科', 'python开发工程师', '全职', '12k-20k', '3-5年']
['深圳', '腾讯科技（深圳）有限公司', '2000人以上', '本科', 'python开发工程师', '全职', '20k-40k', '3-5年']
['上海', '上海斯干网络科技有限公司', '150-500人', '本科', 'Python开发工程师', '全职', '20k-40k', '5-10年']
